uniref90_cluster	length	percent_identity_to_query
UniRef90_UPI0012625AE4	526	61.6
UniRef90_A0A673UZ47	469	63.3
UniRef90_UPI0040539E0F	579	60.2
UniRef90_F7FB21	526	61.6
UniRef90_A0A8C8YSA7	443	67.9
UniRef90_UPI001EE2B6AB	487	61.0
UniRef90_A0A5G2QVS4	463	61.2
UniRef90_UPI00174EEBDD	470	60.3
UniRef90_A0A8D2B3Q9	481	65.9
UniRef90_UPI00189F9BE7	566	60.1
UniRef90_A0A7J7V5A7	504	58.7
UniRef90_A0A9X9Q6V2	501	61.7
UniRef90_A0A8C8YNY7	465	69.2
UniRef90_A0A2Y9K235	501	62.2
UniRef90_G1PL78	503	58.2
UniRef90_UPI0007A6E43D	542	57.6
UniRef90_A0A8C9E9G0	474	65.3
UniRef90_A0ABM3XSB1	587	56.9
UniRef90_A0A1S3FFH9	548	58.6
UniRef90_A0A1S3AA39	561	59.9
UniRef90_A0A091DEG1	497	57.7
UniRef90_A0A8B7WIE0	532	60.3
UniRef90_L5KR52	474	58.1
UniRef90_UPI003D69B88D	650	58.7
UniRef90_A0A452SSY5	453	66.9
UniRef90_UPI00188E9A35	576	60.8
UniRef90_A0A9L0J4U2	440	65.6
UniRef90_G3WEF7	614	58.6
UniRef90_UPI001CC37FB6	605	57.7
UniRef90_A0A4X2K3A0	615	58.0
UniRef90_UPI0036D9155C	605	57.7
UniRef90_A0A8C9DF06	442	70.5
UniRef90_UPI00339C3DB0	631	56.6
UniRef90_UPI003B676DA6	607	57.5
UniRef90_UPI002019E2F3	533	57.5
UniRef90_UPI00338DDF38	590	56.8
UniRef90_UPI00186B3B63	612	56.8
UniRef90_A0A1S3AA25	525	58.7
UniRef90_A0A8C6FTL7	528	58.4
UniRef90_A0A7J7WM94	503	54.7
UniRef90_UPI00109F95B2	512	58.1
UniRef90_UPI0018F3DF1B	606	60.1
UniRef90_A0A1S3AA80	506	54.9
UniRef90_UPI00111C85D0	525	56.1
UniRef90_UPI0012622CF4	512	58.1
UniRef90_UPI00148601DC	512	57.6
UniRef90_A0ABN9Z7G3	497	54.6
UniRef90_A0A7J8HE24	510	54.2
UniRef90_K4PBL9	604	57.6
UniRef90_UPI0024ADA4E9	481	57.8
UniRef90_UPI0021104877	503	58.8
UniRef90_UPI002433A8A7	513	55.0
UniRef90_UPI0003345F25	565	58.1
UniRef90_P48794	512	58.1
UniRef90_A0A8C5P4Y2	507	55.1
UniRef90_A0A8C6QPE1	493	56.1
UniRef90_UPI0021E2A8C9	512	57.4
UniRef90_UPI003D681799	603	56.5
UniRef90_A0A6I9M6P7	513	56.0
UniRef90_F6WHK7	470	55.7
UniRef90_UPI002244A41F	622	55.8
UniRef90_UPI002115F1C3	540	57.9
UniRef90_UPI0024E1CC68	598	55.6
UniRef90_A0A1S3A9Y7	586	56.9
UniRef90_UPI0038F7F66D	477	58.8
UniRef90_UPI003F5A859F	568	57.7
UniRef90_UPI0030D0C12E	522	58.4
UniRef90_UPI0023F80711	564	57.2
UniRef90_UPI001CFCBF75	619	54.7
UniRef90_UPI002452F3AB	507	56.6
UniRef90_UPI001890833A	606	57.4
UniRef90_A0AAU9YT02	509	55.2
UniRef90_Q62803	512	55.3
UniRef90_D6C448	513	55.9
UniRef90_A0A8C6ZYY0	475	58.9
UniRef90_A0A9J7J315	513	55.0
UniRef90_A0A7D5BCN8	473	56.4
UniRef90_UPI00188F2033	563	56.8
UniRef90_A0ABM1AUR2	513	55.0
UniRef90_UPI0018E2C060	513	54.8
UniRef90_UPI003F5A92A3	525	56.2
UniRef90_A0A8C6BCQ0	509	64.2
UniRef90_A0A8C4YSQ9	521	54.4
UniRef90_A0ABM0ZRN5	517	55.9
UniRef90_UPI0022A7372C	522	55.5
UniRef90_A0A674IDS3	511	54.7
UniRef90_A0A8C0GGY0	507	51.5
UniRef90_UPI003F5A2C17	568	57.7
UniRef90_K7G385	570	55.3
UniRef90_A0A1S3AA20	626	53.4
UniRef90_A0ABM1AUS8	500	54.5
UniRef90_A0A7K7BK44	488	57.0
UniRef90_A0A4D9EWJ7	582	54.4
UniRef90_A0ABN8YGA6	427	65.1
UniRef90_UPI003EBDC0C0	570	53.1
UniRef90_UPI003529DD89	570	54.6
UniRef90_A0A3Q0GS29	570	52.9
UniRef90_M7B642	614	54.0
UniRef90_UPI0023F71748	566	52.9
UniRef90_A0A8C8UIY0	489	56.1
UniRef90_A0A7K8XGT0	488	55.7
UniRef90_A0AAW0GXL2	488	55.3
UniRef90_UPI0003315E08	489	53.0
UniRef90_A0A7L2B6M7	488	54.1
UniRef90_A0A8C5X3L8	518	52.0
UniRef90_A0A7L3L3R4	488	55.0
UniRef90_UPI002110A2FF	469	53.3
UniRef90_UPI000FFD7D59	587	54.6
UniRef90_A0A850ZWG7	488	51.8
UniRef90_A0A8C8SQT9	509	52.2
UniRef90_A0A8C3NJH7	521	52.7
UniRef90_A0A7K8VK96	483	54.8
UniRef90_A0A0Q3LX62	620	54.0
UniRef90_A0A8C4YQI0	507	53.4
UniRef90_A0A7K8TZE9	488	54.6
UniRef90_A0A7K7MV73	488	54.3
UniRef90_A0A7K4ZNA2	488	54.9
UniRef90_UPI0021101124	497	52.3
UniRef90_A0A8B9IMU9	543	51.1
UniRef90_A0A7K9Z0I9	488	54.6
UniRef90_A0A7K8TAA9	488	54.1
UniRef90_A0A226MUH4	510	54.6
UniRef90_A0A7K6H442	488	53.9
UniRef90_A0A7K6T7T5	487	54.6
UniRef90_A0A7L2J8Z2	488	54.6
UniRef90_A0A8C6YKU1	525	51.2
UniRef90_UPI0018906C45	452	53.8
UniRef90_UPI0024AE5758	488	53.6
UniRef90_A0A8D0G3J9	520	54.4
UniRef90_A0A7K7W2N1	487	54.8
UniRef90_A0A8C8BGD0	590	54.1
UniRef90_A0A8V0X6B4	572	54.1
UniRef90_A0A8D0GW58	491	54.4
UniRef90_A0A8D0L6D2	523	53.8
UniRef90_U3J868	569	54.1
UniRef90_A0ABM2W272	495	52.6
UniRef90_A0A8C3H1B6	476	52.3
UniRef90_A0A8D0GT49	523	54.1
UniRef90_A0A8C8UCF3	478	56.0
UniRef90_A0A8B9FCD3	458	55.8
UniRef90_A0A7K7UNY0	487	54.3
UniRef90_A0A8C0C1N7	507	54.3
UniRef90_A0A8C0INH7	477	53.1
UniRef90_A0A8C8VQ10	478	53.4
UniRef90_UPI000523A434	573	54.0
UniRef90_A0A8C3S1L4	494	54.8
UniRef90_UPI00293EF0F8	613	53.0
UniRef90_A0A7K9SIV0	488	53.7
UniRef90_UPI0024ADC0F4	582	54.2
UniRef90_A0A8C3H727	484	54.0
UniRef90_A0A6P8SGD8	595	52.4
UniRef90_A0A6P7Z7K7	571	51.8
UniRef90_A0A8C7A2U0	431	56.7
UniRef90_UPI00112C07B0	539	52.9
UniRef90_UPI0004F0DC42	583	52.4
UniRef90_A0ABQ0EUK4	649	58.9
UniRef90_A0A663EZF4	522	55.1
UniRef90_A0ABM1VJJ7	501	59.2
UniRef90_A0A8C8YNZ8	446	67.7
UniRef90_A0ACB9V621	405	67.2
UniRef90_UPI0024AD8B4D	497	50.2
UniRef90_A0A8C7AAW7	432	60.6
UniRef90_UPI003709843C	469	53.0
UniRef90_UPI0024AD4BBE	499	49.8
UniRef90_UPI0024AD6E8A	490	52.6
UniRef90_UPI0024ACB3FF	448	52.0
UniRef90_A0A087V2W5	396	56.0
UniRef90_UPI0024AD9BB1	499	49.4
UniRef90_H3A0D6	502	50.5
UniRef90_A0A8C0ID30	489	54.5
UniRef90_A0A7L2SF08	455	51.7
UniRef90_UPI0024340A3F	549	48.1
UniRef90_A0A7L4NFZ3	460	51.0
UniRef90_A0ABM3XS52	364	60.7
UniRef90_UPI0024338AAC	509	47.1
UniRef90_UPI002433BCF8	519	48.2
UniRef90_UPI0024ADC6A0	422	53.7
UniRef90_UPI0024AD013A	446	51.9
UniRef90_UPI0037E987AF	489	53.1
UniRef90_A0A091Q6J5	390	54.7
UniRef90_UPI0024AE85DB	414	54.1
UniRef90_UPI0023F6B8D7	405	58.8
UniRef90_A0A7M4EXK1	401	54.7
UniRef90_UPI0024AD5352	446	52.4
UniRef90_UPI002433DBD8	510	44.1
UniRef90_UPI0003D0F044	409	63.1
UniRef90_A0A672TIK0	421	54.7
UniRef90_UPI0024AC937D	448	50.2
UniRef90_UPI0024AD27E7	449	50.9
UniRef90_UPI0024335AFF	513	47.0
UniRef90_UPI00235A56B1	488	47.9
UniRef90_A0A663F0T2	434	53.6
UniRef90_A0A8C3TWE3	448	52.7
UniRef90_A0ABM3XUJ7	418	61.6
UniRef90_A0A8C7EIG9	415	59.7
UniRef90_UPI0021109F25	414	53.5
UniRef90_A0AAV7SDK6	475	48.4
UniRef90_A0A8C5X3M4	432	54.7
UniRef90_UPI002433790C	519	44.5
UniRef90_A0A8D2QNW5	467	53.4
UniRef90_A0A851XVJ8	488	49.2
UniRef90_UPI003081324B	466	49.1
UniRef90_UPI003F5AC42B	518	49.9
UniRef90_UPI00235A761C	509	46.1
UniRef90_A0A8C4UIK6	461	53.3
UniRef90_UPI0037E94B47	582	49.4
UniRef90_A0AAD8DCW2	493	48.9
UniRef90_A0A8C8BA92	489	52.1
UniRef90_UPI003559460C	517	46.9
UniRef90_UPI00202B5DF6	524	50.2
UniRef90_UPI0024ADACBE	410	53.7
UniRef90_UPI0024AD6830	434	54.2
UniRef90_UPI002FE43910	466	49.8
UniRef90_UPI00355B6BEC	517	47.9
UniRef90_UPI003F67BBF6	467	47.6
UniRef90_UPI003F5030BD	429	47.9
UniRef90_A0ABS2XP07	487	47.8
UniRef90_A0A401SVR8	592	49.3
UniRef90_UPI003B288DCD	520	47.8
UniRef90_UPI0023493F53	458	47.9
UniRef90_UPI003F597B02	431	54.9
UniRef90_UPI00223DAF89	519	47.1
UniRef90_UPI0038322353	440	47.6
UniRef90_UPI003B5A7AB3	528	48.9
UniRef90_UPI003F4DA104	495	46.1
UniRef90_A0ABN9L102	496	48.1
UniRef90_A0ACM8HI83	448	48.5
UniRef90_A0A401PG01	469	51.2
UniRef90_A0A8J6FK16	434	47.6
UniRef90_UPI00398F3C37	517	43.1
UniRef90_A0A803K0H2	526	48.3
UniRef90_A0A4W3JYG1	393	50.8
UniRef90_W5NFW3	457	47.2
UniRef90_A0A8D2QNC6	413	49.5
UniRef90_UPI002455F0F2	515	44.5
UniRef90_UPI003831F513	525	46.5
UniRef90_A0A8T2J3X8	460	47.5
UniRef90_A0A9D3PB59	478	47.9
UniRef90_A0A8T1T2F8	440	55.0
UniRef90_B7ZQD4	512	45.5
UniRef90_UPI003D9E3897	485	45.7
UniRef90_A0AAV7BX06	454	46.2
UniRef90_UPI003F5A100F	486	53.0
UniRef90_A0A8C4ETZ7	482	46.3
UniRef90_A0A662YZL1	469	48.2
UniRef90_A0A8T3CT02	473	45.1
UniRef90_A0A3Q3ECI2	479	46.1
UniRef90_UPI003F4F1A90	515	46.0
UniRef90_UPI0034638C53	502	46.0
UniRef90_A0A9D3MEA2	448	45.4
UniRef90_UPI001CF5FECA	606	47.5
UniRef90_A0A667YNH7	485	46.0
UniRef90_UPI0024C2F94E	535	46.3
UniRef90_UPI0024335D60	517	49.2
UniRef90_UPI0003F0C513	370	55.8
UniRef90_UPI00350F5940	482	46.8
UniRef90_UPI0015AFD99A	476	46.1
UniRef90_UPI002A5ACB94	477	45.4
UniRef90_UPI003527AEF7	487	45.0
UniRef90_A0AAV1F426	486	46.6
UniRef90_Q801Z8	477	44.4
UniRef90_A0A9Y4KBI0	481	46.8
UniRef90_UPI003A5BBD7B	483	46.4
UniRef90_UPI001C4CC594	503	45.6
UniRef90_UPI0037E80A81	480	46.6
UniRef90_A0AAV7SBR7	433	54.1
UniRef90_A0A6P8WGJ4	483	47.1
UniRef90_A0A665U3Y8	477	45.9
UniRef90_UPI00210FEE6A	489	46.7
UniRef90_A0AAV6SWI0	480	44.0
UniRef90_E5RWZ0	491	45.2
UniRef90_UPI001B7DD613	473	45.5
UniRef90_A0A8C4X480	473	47.8
UniRef90_UPI002A599FE9	447	45.8
UniRef90_UPI001A982314	481	46.6
UniRef90_A0A4W4FGD6	469	42.0
UniRef90_UPI003980CF05	482	44.2
UniRef90_A0A3Q2ZYQ5	540	46.1
UniRef90_UPI001471B36D	481	44.4
UniRef90_UPI001CFC04E2	455	48.3
UniRef90_A0A3B4Y128	478	46.3
UniRef90_UPI00148FA169	494	44.9
UniRef90_A0AAV2KUY4	477	45.5
UniRef90_UPI0040328E6F	505	47.1
UniRef90_A0A8B7U0W6	476	45.3
UniRef90_UPI0008163CDA	363	58.6
UniRef90_A0A671UDD2	482	44.0
UniRef90_UPI0037E735CA	479	45.2
UniRef90_UPI00237E7D32	479	44.2
UniRef90_A0A8D0AJU6	458	45.4
UniRef90_A0A8C5L4C1	481	45.5
UniRef90_A0A6J2UQ54	476	42.3
UniRef90_A0A8C7HX51	487	45.9
UniRef90_UPI00223E8257	450	48.3
UniRef90_A0A671F8V9	480	46.1
UniRef90_UPI0027E1AB4D	483	44.2
UniRef90_UPI001BD5404F	475	45.1
UniRef90_UPI00210FA584	493	47.0
UniRef90_UPI002714D0DD	481	45.5
UniRef90_A0A8C5XN21	481	46.1
UniRef90_UPI001486D1AA	484	44.7
UniRef90_A0A3Q1CZK1	494	45.0
UniRef90_UPI002305A69F	595	46.1
UniRef90_UPI001CE15DEA	482	45.8
UniRef90_UPI003B63E3BE	482	44.3
UniRef90_UPI00214E0D98	484	44.5
UniRef90_UPI00223CFCC2	480	45.6
UniRef90_A0A6J2PCQ6	480	45.8
UniRef90_UPI0037515B3E	481	46.1
UniRef90_A0A3Q3XFP2	484	44.4
UniRef90_A0AAV6GDW2	474	45.3
UniRef90_A0A3Q1FG18	496	44.7
UniRef90_A0A4V6ANR2	476	45.1
UniRef90_A0A3P8XKM4	488	44.5
UniRef90_UPI001B3AB526	481	45.6
UniRef90_UPI001E8EDBA0	482	44.0
UniRef90_G1T8R5	484	48.0
UniRef90_A0A6I9M2Y0	481	45.4
UniRef90_A0A401PHC1	452	45.7
UniRef90_A0AAN7XUI2	478	46.0
UniRef90_A0A3B4AC15	479	44.8
UniRef90_A0A811ZP17	501	46.1
UniRef90_A0AAV1PWG3	503	47.3
UniRef90_UPI00266BF6F5	451	47.4
UniRef90_UPI003992E4F4	473	46.1
UniRef90_UPI0009A471C1	484	45.7
UniRef90_A0A3P8UK74	474	44.1
UniRef90_UPI00188FD937	393	56.3
UniRef90_A0A4W6BMZ8	477	45.2
UniRef90_UPI003B82DD5D	521	45.9
UniRef90_UPI0024535230	481	44.2
UniRef90_UPI003559AA05	458	46.4
UniRef90_UPI003F768800	485	44.8
UniRef90_UPI00259A1A82	481	47.0
UniRef90_G3W325	481	45.1
UniRef90_F6WHI3	505	45.6
UniRef90_A0A8C9YDH9	453	47.1
UniRef90_A0A673UMH1	481	47.0
UniRef90_UPI002AD56D15	571	43.3
UniRef90_UPI00398F69FA	452	45.7
UniRef90_UPI0013AFB579	474	45.5
UniRef90_A0AAW0N8Z6	476	44.1
UniRef90_A0A8J6DZ62	489	47.0
UniRef90_UPI002FD320F7	478	44.9
UniRef90_UPI001ED82094	482	44.0
UniRef90_A0A673B6B1	483	45.1
UniRef90_UPI00396C844D	608	44.9
UniRef90_A0A8C5HF56	519	43.6
UniRef90_UPI002ADF21DB	499	44.4
UniRef90_Q05A56	481	46.6
UniRef90_A0A1U7TQB4	481	45.4
UniRef90_Q2M3T9	481	47.3
UniRef90_UPI002F358705	441	48.8
UniRef90_UPI001864E136	476	45.2
UniRef90_UPI003F712537	478	45.7
UniRef90_A0ABM0LGM7	481	43.2
UniRef90_A0A8B9S2Y7	483	45.1
UniRef90_W5NFW7	448	45.0
UniRef90_UPI0003F0D0C9	481	44.1
UniRef90_A0A8C5RL52	441	46.6
UniRef90_A0ACE1F823	481	44.6
UniRef90_UPI002110DFD9	450	45.3
UniRef90_UPI0034632484	452	46.4
UniRef90_A0ABD1K2P1	478	44.9
UniRef90_A0A8C0GGX0	490	45.0
UniRef90_A0A6P8F2Q7	482	44.1
UniRef90_UPI0023EBF3CE	483	45.3
UniRef90_UPI0011274DC7	465	45.4
UniRef90_UPI002DDB2C84	487	47.4
UniRef90_A0A8D0L6B4	487	47.6
UniRef90_UPI001FB68481	498	43.7
UniRef90_A0A8C2MT53	481	44.2
UniRef90_UPI003709A97B	484	47.1
UniRef90_UPI00196667B2	434	47.7
UniRef90_A0A1S3FG11	481	46.1
UniRef90_G3UNT0	481	46.4
UniRef90_UPI00234D2CE5	484	47.7
UniRef90_UPI00210F7B54	476	46.5
UniRef90_A0AA97JV92	483	48.2
UniRef90_K7ZMF5	483	44.1
UniRef90_UPI00355BF0F4	485	46.3
UniRef90_UPI0023029357	476	46.6
UniRef90_UPI001376BCFD	478	46.8
UniRef90_UPI0035CC534E	492	42.8
UniRef90_UPI003B5BD7D5	479	44.8
UniRef90_UPI002541BB82	484	47.4
UniRef90_A0AA88ME86	452	46.9
UniRef90_UPI001964280D	576	47.9
UniRef90_A0AAW1E1C1	488	42.9
UniRef90_A0ACB8WW54	415	47.3
UniRef90_A0A662YLH0	458	46.7
UniRef90_UPI001FA8969F	481	45.1
UniRef90_A0A8T1N4U2	453	47.7
UniRef90_UPI003F59D631	481	44.9
UniRef90_UPI0035B49481	473	44.7
UniRef90_A0A6P3QAL5	476	44.6
UniRef90_A0ABM0PZ13	479	44.0
UniRef90_UPI00383177C3	448	46.5
UniRef90_A0A672FC48	450	45.6
UniRef90_UPI00265F6086	481	44.1
UniRef90_E1B8K4	481	44.6
UniRef90_A0A665TAI3	514	47.5
UniRef90_UPI001F07B82A	467	46.1
UniRef90_A0A3B1JS19	470	45.3
UniRef90_A0A9B0TD52	481	44.4
UniRef90_A0AAX6PQT1	484	42.4
UniRef90_G1QAW2	478	47.0
UniRef90_UPI002433D6C1	374	47.9
UniRef90_A0A3P8VLR7	443	46.7
UniRef90_A0A8C6K4I8	498	55.7
UniRef90_A0ACB7EU99	648	45.8
UniRef90_UPI002ADD6568	481	43.8
UniRef90_A0A6P7YZR6	483	45.0
UniRef90_A0A672FE60	475	43.8
UniRef90_A0AAV1MTK5	641	47.4
UniRef90_UPI00352A9C46	485	45.9
UniRef90_UPI002A6B4211	563	45.6
UniRef90_UPI004057C732	477	47.9
UniRef90_UPI002AD2ABBF	477	42.5
UniRef90_A0A4W4GMV7	458	46.2
UniRef90_UPI0021E2E964	481	44.2
UniRef90_A0A8C6QML7	482	43.2
UniRef90_UPI00117E28EE	461	46.8
UniRef90_UPI0020262BF9	559	47.9
UniRef90_A0A8D2LJ29	450	46.0
UniRef90_UPI002433F755	484	45.8
UniRef90_UPI003B83326D	453	46.5
UniRef90_A0A3B4DBJ1	443	47.0
UniRef90_A0A7J7WLM5	480	45.4
UniRef90_UPI001C4CD3B5	587	45.7
UniRef90_A0A8C2ZRM4	433	47.2
UniRef90_UPI0024BE85FB	480	42.2
UniRef90_UPI001BD3FE50	565	46.7
UniRef90_UPI0024049174	488	45.5
UniRef90_UPI0010548C07	479	45.7
UniRef90_A0A4U5VSC6	505	45.4
UniRef90_A0A8C2UUS6	484	44.9
UniRef90_UPI003703F411	507	46.5
UniRef90_UPI0025A68ACB	479	45.6
UniRef90_A0A6P8SDY5	458	45.3
UniRef90_A0A6J2MN91	480	46.1
UniRef90_UPI003604A891	471	43.9
UniRef90_A0AAN7WVV1	542	45.0
UniRef90_UPI0035C26B96	612	45.6
UniRef90_A0ABQ7SGV7	488	46.7
UniRef90_A0A7J8HBF2	480	46.1
UniRef90_UPI00234D9349	451	46.9
UniRef90_A0A3Q3QUY0	482	42.8
UniRef90_A0A668URZ2	463	46.8
UniRef90_UPI003BF9F440	444	46.4
UniRef90_A0A8D0BZR1	469	46.3
UniRef90_A0A6J0UKZ6	502	46.0
UniRef90_UPI0019653ADA	406	46.2
UniRef90_H2ZZ86	485	47.0
UniRef90_UPI002FCD62DC	587	45.9
UniRef90_A0A672FG51	489	44.3
UniRef90_A0A3B4TSJ1	469	45.1
UniRef90_A0A7M4EWM7	473	43.6
UniRef90_UPI001E8E1A30	478	44.7
UniRef90_H3C6U6	407	46.5
UniRef90_A0AAD3MXN9	595	46.4
UniRef90_A0ABR0Y242	580	46.9
UniRef90_A0A8S4BC89	492	45.1
UniRef90_H2ZVS5	483	43.8
UniRef90_A0AAY5KTC3	453	46.9
UniRef90_A0AA88NHX4	464	44.2
UniRef90_A0A8C2XIR5	456	42.8
UniRef90_A0A8D0L6B0	479	48.0
UniRef90_A0A6I9I2G0	480	45.9
UniRef90_UPI0039807745	492	44.0
UniRef90_UPI00339CF703	475	45.1
UniRef90_UPI003604DFCC	481	42.5
UniRef90_H3BXF6	407	46.8
UniRef90_UPI003F74149E	571	43.0
UniRef90_A0A6P7JDR8	439	46.1
UniRef90_A0A4W4GML4	481	44.6
UniRef90_G1KUZ0	481	46.5
UniRef90_UPI001C04AD21	601	46.5
UniRef90_UPI000E460676	479	44.8
UniRef90_UPI00293BA596	461	47.5
UniRef90_A0A9Y4NIU5	540	45.6
UniRef90_A0A6P3FCS6	563	44.5
UniRef90_UPI002FC2C618	444	45.3
UniRef90_UPI0035C00E5A	488	42.1
UniRef90_UPI001BD31EAA	445	46.9
UniRef90_UPI00214EA880	418	47.2
UniRef90_A0A673XSQ8	452	45.1
UniRef90_UPI001A99FC2A	557	43.1
UniRef90_A0A3Q4GHY6	452	44.8
UniRef90_A0A7K8JZR7	431	48.3
UniRef90_A0A4W3GJ09	456	46.4
UniRef90_UPI003F8CAF91	521	44.7
UniRef90_A0A9Q0DX54	480	41.6
UniRef90_A0A8C9RDS5	473	47.2
UniRef90_A0A7K6ZLJ3	431	48.0
UniRef90_H0VP34	486	43.5
UniRef90_A0AAD8DDD4	475	40.8
UniRef90_UPI001F073C6A	535	46.4
UniRef90_UPI0037E72083	470	46.8
UniRef90_UPI00298CCDC6	452	45.9
UniRef90_A0A9Q1B1S5	508	45.4
UniRef90_A0ACB8WG60	608	46.8
UniRef90_UPI003464286C	485	41.8
UniRef90_UPI00355A0FE3	445	45.6
UniRef90_A0A8C4RN85	425	46.8
UniRef90_A0ABM0IUC0	512	43.0
UniRef90_A0A670JCB8	462	45.8
UniRef90_A0A6G1QRG0	506	44.2
UniRef90_UPI0018651C25	454	44.0
UniRef90_A0A8B9C5V4	445	46.1
UniRef90_A0A3B4XDJ6	459	46.3
UniRef90_UPI000F5E3DC9	418	48.8
UniRef90_A0A3Q1ESD4	629	42.1
UniRef90_A0A3Q2FQH5	459	42.3
UniRef90_A0ACC2G2A5	449	45.8
UniRef90_UPI0037E8349A	520	46.2
UniRef90_A0A3B3SKY4	486	46.0
UniRef90_A0A9Q1JCJ6	443	42.7
UniRef90_UPI0039920757	543	45.5
UniRef90_UPI0034634FB2	455	47.3
UniRef90_UPI003CC85672	502	44.9
UniRef90_A0A8C4KCM3	460	46.2
UniRef90_UPI0035B33F2D	528	44.5
UniRef90_UPI0011E9F057	506	46.4
UniRef90_A0ABV0RLP2	441	44.4
UniRef90_A0A2D0SBK6	452	45.7
UniRef90_UPI001863AD80	455	46.0
UniRef90_UPI003A5B94D7	552	46.7
