accession	organism	length	identity_to_query	query_coverage
A0A4X2LN72	Vombatus ursinus	481	0.4573	0.7819
A0A668SH23	Oreochromis aureus	475	0.4571	0.7780
A0A6J0TZ90	Pogona vitticeps	504	0.4571	0.7780
A0A8C4TEV9	Erpetoichthys calabaricus	472	0.4569	0.7741
A0A8J7T9A8	Atractosteus spatula	445	0.4569	0.7741
A0A401PHC1	Scyliorhinus torazame	452	0.4567	0.8389
H3AI34	Latimeria chalumnae	443	0.4563	0.8094
A0A671W8B4	Sparus aurata	465	0.4561	0.8055
A0A2K6CQZ0	Macaca nemestrina	481	0.4558	0.8664
A0A8C4TN71	Erpetoichthys calabaricus	459	0.4557	0.7760
A0A8B9J1N4	Amazona collaria	435	0.4557	0.7760
A0A7L0U6J6	Chordeiles acutipennis	439	0.4552	0.7682
A0A6J2PQQ7	Cottoperca gobio	439	0.4548	0.7603
A0A8C4RKB8	Erpetoichthys calabaricus	461	0.4545	0.7996
A0AAV1F505	Xyrichtys novacula	504	0.4532	0.7760
A0ABD2FRV9	Pagothenia borchgrevinki	501	0.4532	0.7760
A0A3P8X779	Cynoglossus semilaevis	468	0.4530	0.7937
A0A7K6H034	Malurus elegans	440	0.4529	0.7721
A0AAW0NFU9	Mugilogobius chulae	451	0.4528	0.7073
A0A484DHC5	Perca flavescens	410	0.4524	0.7642
A0A6P5IIM1	Phascolarctos cinereus	484	0.4524	0.8468
A0A6J1UMQ1	Notechis scutatus	474	0.4520	0.7780
A0A3Q3MNN4	Mastacembelus armatus	473	0.4518	0.7741
A0A8C4X4H1	Erpetoichthys calabaricus	508	0.4517	0.8134
A0A7K7CAS6	Aphelocoma coerulescens	440	0.4515	0.7701
A0A8C5PLD3	Leptobrachium leishanense	469	0.4514	0.7878
A0A3Q2UUY9	Haplochromis burtoni	470	0.4510	0.8016
B0BM11	Xenopus tropicalis	478	0.4507	0.8369
A0A8C6YY28	Nothoprocta perdicaria	454	0.4505	0.7151
A0AAD3MYD3	Lates japonicus	477	0.4505	0.8330
A0A671NJE0	Sinocyclocheilus anshuiensis	421	0.4504	0.7721
A0A3Q3X994	Mola mola	455	0.4500	0.7859
A0ACE1PPR1	Boreogadus saida	465	0.4496	0.7996
U3TBU1	Ovophis okinavensis	449	0.4496	0.7996
A0A6G1QRG0	Channa argus	506	0.4494	0.8350
G3N8Q0	Gasterosteus aculeatus aculeatus	467	0.4494	0.7957
A0A7K9YAE1	Odontophorus gujanensis	444	0.4494	0.7957
A0A669CBX7	Oreochromis niloticus	458	0.4491	0.7917
A0A3Q2ZYS7	Kryptolebias marmoratus	488	0.4491	0.7917
A0AAV1F429	Xyrichtys novacula	444	0.4491	0.7917
A0A7K7LSR3	Brachypodius melanocephalos	444	0.4490	0.7701
A0A7K5V791	Platysteira castanea	439	0.4490	0.7701
A0A3B4T3N9	Seriola dumerili	468	0.4489	0.7878
A0A2I4B2A4	Austrofundulus limnaeus	438	0.4489	0.7878
A0A3B4Y8Z1	Seriola lalandi dorsalis	454	0.4488	0.8055
A0A6G1QTS2	Channa argus	444	0.4484	0.8193
A0ABD2GWX0	Pagothenia borchgrevinki	475	0.4482	0.8153
A0A672FJ17	Salarias fasciatus	485	0.4481	0.8330
A0A8C7Y480	Oryzias sinensis	469	0.4480	0.7937
A0ACI6QNM6	Ovis aries	481	0.4478	0.8468
A0A8C4RKE8	Erpetoichthys calabaricus	446	0.4476	0.7682
A0AAN8RBN4	Coregonus suidteri	500	0.4471	0.8173
A0A8C8YHS3	Prolemur simus	429	0.4469	0.7033
A0A673BA89	Sphaeramia orbicularis	452	0.4469	0.8134
A0AAY4A2I2	Denticeps clupeoides	473	0.4467	0.7741
A0A8D0G5J3	Sphenodon punctatus	472	0.4466	0.8094
A0A7L3PV86	Xiphorhynchus elegans	437	0.4464	0.7701
A0A3B3ZM41	Periophthalmus magnuspinnatus	503	0.4459	0.7623
A0A3B3Y5L2	Poecilia mexicana	469	0.4459	0.7623
A0A7K4KJX5	Crypturellus soui	462	0.4458	0.7800
A0AAV7BXG8	Engystomops pustulosus	481	0.4456	0.7760
A0A8D0AH69	Sander lucioperca	445	0.4447	0.7819
A0A3B3U4C6	Poecilia latipinna	481	0.4447	0.8350
G3P1P8	Gasterosteus aculeatus aculeatus	445	0.4444	0.8134
A0A7K4ZT93	Centropus unirufus	441	0.4444	0.7957
A0A803SM41	Anolis carolinensis	477	0.4439	0.8055
A0A7L3BUI9	Pelecanoides urinatrix	440	0.4439	0.7701
A0A8C8AAK5	Otus sunia	431	0.4439	0.7701
A0A4W3K8M4	Callorhinchus milii	524	0.4434	0.8330
A0A4W6DP71	Lates calcarifer	462	0.4434	0.8153
A0AAW0PD99	Mugilogobius chulae	457	0.4433	0.7623
H2LF79	Oryzias latipes	445	0.4430	0.7583
A0ABM0LGM7	Microtus ochrogaster	481	0.4429	0.8605
A0A4Z2GFF4	Liparis tanakae	450	0.4426	0.8389
A0A671YD31	Sparus aurata	476	0.4425	0.8035
A0A3B3WJ93	Poecilia mexicana	472	0.4425	0.7859
A0A3S2PWA8	Oryzias javanicus	438	0.4420	0.7957
A0ABM2F700	Equus przewalskii	435	0.4417	0.7917
A0A8C7PZ69	Oncorhynchus mykiss	478	0.4416	0.7741
A0A3Q1JDI6	Anabas testudineus	445	0.4415	0.8232
A0A3P9NTU4	Poecilia reticulata	475	0.4414	0.7878
A0A7L2WWF9	Pandion haliaetus	436	0.4413	0.7701
A0A7K9ADQ6	Grallaria varia	471	0.4408	0.7800
A0ACE1P6Q5	Arctogadus glacialis	481	0.4408	0.8291
A0A6P6IFP4	Puma concolor	485	0.4405	0.7760
A0A7K6X493	Promerops cafer	471	0.4401	0.8035
A0A4W6CIY7	Lates calcarifer	417	0.4398	0.7505
A0A3B3T5L6	Paramormyrops kingsleyae	494	0.4396	0.8134
A0AAD8CXL9	Acipenser oxyrinchus oxyrinchus	445	0.4395	0.7957
A0A8C4XJP5	Falco tinnunculus	472	0.4395	0.7957
A0AAN9D6K3	Phoxinus phoxinus	473	0.4392	0.7917
A0A669Q312	Phasianus colchicus	487	0.4391	0.7741
A0ACB9XMM0	Chaenocephalus aceratus	465	0.4387	0.8016
A0A803V346	Ficedula albicollis	435	0.4381	0.7937
A0A8C1HBT5	Cyprinus carpio	510	0.4380	0.7760
A0A7K4LPX3	Crypturellus undulatus	425	0.4373	0.7996
A0A8C0GQU9	Chelonoidis abingdonii	444	0.4373	0.7682
A0A146ZW78	Fundulus heteroclitus	471	0.4370	0.7957
A0AA88NL22	Channa striata	469	0.4365	0.7741
A0A4W4GI54	Electrophorus electricus	468	0.4361	0.7839
A0AAN7MS15	Mycteria americana	435	0.4360	0.7976
A0A673NHK6	Sinocyclocheilus rhinocerous	457	0.4357	0.7485
H0X9V0	Otolemur garnettii	435	0.4351	0.7721
A0AB32TSM3	Danio rerio	449	0.4351	0.7721
A0A673HSX9	Sinocyclocheilus rhinocerous	439	0.4351	0.8173
A0A2K5N3Q7	Cercocebus atys	405	0.4350	0.7407
A0A3B5R6N5	Xiphophorus maculatus	462	0.4348	0.7682
A0AAD8DFZ7	Acipenser oxyrinchus oxyrinchus	479	0.4346	0.8861
A0A091IBM8	Calypte anna	401	0.4344	0.7642
A0A9Y6JI35	Pundamilia nyererei	515	0.4343	0.7780
A0AAW1YUW7	Culter alburnus	439	0.4341	0.8055
A0A7L4KEA1	Ceuthmochares aereus	440	0.4340	0.7741
A0A8D0AJN5	Sander lucioperca	431	0.4340	0.7741
A0ACE3BN44	Lepidochelys kempii	648	0.4340	0.8330
A0AAW1F3N8	Zoarces viviparus	476	0.4329	0.8350
A0A8C4T5R1	Erpetoichthys calabaricus	421	0.4324	0.7269
A0A3Q3MUU6	Labrus bergylta	476	0.4323	0.8271
A0A8C8TGM8	Peromyscus maniculatus bairdii	432	0.4321	0.7092
A0A6I9XI77	Thamnophis sirtalis	474	0.4318	0.7917
A0AAD7S2U2	Aldrovandia affinis	453	0.4315	0.7603
A0A3Q3XCG2	Mola mola	476	0.4310	0.8114
A0A6P6PLA2	Carassius auratus	473	0.4307	0.7937
A0ABM0H572	Ceratotherium simum simum	450	0.4307	0.7937
A0A7L4HR17	Scopus umbretta	440	0.4300	0.7721
A0A3B4B9U1	Periophthalmus magnuspinnatus	412	0.4300	0.7721
A0A8J6ENP4	Eleutherodactylus coqui	476	0.4293	0.7780
A0A4W5RMP4	Hucho hucho	428	0.4293	0.7780
A0AAN7MWM5	Mycteria americana	501	0.4286	0.7289
A0A4W5LGX8	Hucho hucho	427	0.4278	0.7760
A0A8C5ZMW3	Marmota marmota marmota	457	0.4274	0.7033
A0A665SXL5	Echeneis naucrates	477	0.4272	0.8094
A0A7N6BS76	Anabas testudineus	548	0.4269	0.8193
A0A6J0ZEN1	Odocoileus virginianus	450	0.4268	0.8055
A0ACC5Y2X0	Pangasius djambal	458	0.4268	0.8055
A0A673IBN9	Sinocyclocheilus rhinocerous	477	0.4264	0.7878
A0A8U0MYS8	Mustela putorius furo	434	0.4264	0.7741
A0A8C2LY45	Cricetulus griseus	486	0.4248	0.8232
A0A8C9RRU2	Scleropages formosus	478	0.4248	0.8094
A0ACE1FA61	Merluccius merluccius	534	0.4242	0.7780
A0A7F8R8V0	Leptonychotes weddellii	474	0.4239	0.7741
A0A3B3QT27	Paramormyrops kingsleyae	441	0.4230	0.7525
A0AA88Q516	Cirrhinus molitorella	484	0.4227	0.8134
A0A7N5K580	Ailuropoda melanoleuca	471	0.4227	0.8134
A0A3B3IJV4	Oryzias latipes	467	0.4220	0.8055
A0A672H8G8	Salarias fasciatus	474	0.4220	0.8055
A0A4W3KA60	Callorhinchus milii	502	0.4218	0.7917
A0A673JA48	Sinocyclocheilus rhinocerous	452	0.4209	0.8075
G3UHY5	Loxodonta africana	410	0.4206	0.7053
A0ACF6GJH2	Sigmodon hispidus	449	0.4202	0.7014
A0A3B3C1K4	Oryzias melastigma	512	0.4201	0.8605
A0A087QTF1	Aptenodytes forsteri	395	0.4194	0.7308
G3V7P9	Rattus norvegicus	473	0.4192	0.7780
A0A340WXP1	Lipotes vexillifer	431	0.4191	0.8016
A0A8D0BPV8	Salvator merianae	478	0.4186	0.7603
A0ABM1KI02	Gekko japonicus	425	0.4185	0.7839
A0AC58NT37	Camelus bactrianus	475	0.4184	0.7701
A0A8C5SNP8	Laticauda laticaudata	477	0.4175	0.7623
F7D949	Mus musculus	494	0.4175	0.8094
A0AAV2M893	Knipowitschia caucasica	508	0.4171	0.8527
A0A452I2D9	Gopherus agassizii	443	0.4165	0.8114
A0A8U0UI70	Salvelinus namaycush	480	0.4155	0.8134
A0A9D3SCR2	Hemibagrus wyckioides	599	0.4154	0.7898
A0A7N9CQD1	Macaca fascicularis	483	0.4152	0.7760
A0AA35JXA6	Podarcis lilfordi	485	0.4152	0.7760
A0A5N3XW40	Muntiacus reevesi	419	0.4138	0.7407
G1U509	Oryctolagus cuniculus	480	0.4137	0.7741
A0ABM0KK31	Microtus ochrogaster	416	0.4134	0.7033
A0A8D2NJG1	Zonotrichia albicollis	446	0.4134	0.7033
A0A2U3Y123	Leptonychotes weddellii	472	0.4132	0.8035
A0A9W3EFK9	Camelus bactrianus	485	0.4129	0.7898
A0A3B4DZQ7	Pygocentrus nattereri	471	0.4129	0.8232
A0AA35P0E1	Podarcis lilfordi	479	0.4123	0.7957
A0A6P6JG31	Carassius auratus	502	0.4110	0.8939
F7H9X1	Macaca mulatta	473	0.4108	0.8035
A0ACM8KYD1	Bufotes viridis	478	0.4108	0.8035
A0AAN7XM32	Eleginops maclovinus	471	0.4107	0.7701
A0A3Q2ZH49	Kryptolebias marmoratus	453	0.4090	0.7014
A0A6P6K8F6	Carassius auratus	469	0.4084	0.7937
A0ACI6PKW5	Ovis aries	475	0.4076	0.7760
A0ABQ0F6D3	Apodemus speciosus	503	0.4076	0.7760
A0AA88MDG8	Tachysurus vachellii	452	0.4072	0.8153
A0ACM8KYC3	Bufotes viridis	536	0.4062	0.8271
A0A6I8NK28	Ornithorhynchus anatinus	459	0.4061	0.7741
A0ABM0R2Y4	Galeopterus variegatus	417	0.4057	0.7603
A0ACE1PPR2	Boreogadus saida	459	0.4053	0.8193
A0A553RKJ9	Danionella cerebrum	426	0.4044	0.7191
A0A6P8P0Z4	Geotrypetes seraphini	542	0.4014	0.8664
A0A3Q2FS05	Cyprinodon variegatus	439	0.4010	0.7741
A0A671PGX3	Sinocyclocheilus anshuiensis	400	0.4005	0.7505
A0A2K5LJ04	Cercocebus atys	417	0.4005	0.7800
M3YNS0	Mustela putorius furo	415	0.3995	0.7328
A0A060Y1S2	Oncorhynchus mykiss	443	0.3950	0.7859
A0A3B3XSX3	Poecilia mexicana	458	0.3942	0.8173
A0A9F5IXA1	Python bivittatus	439	0.3910	0.7839
A0A6J1UDN0	Notechis scutatus	451	0.3905	0.7898
A0A151MEL0	Alligator mississippiensis	644	0.3892	0.7623
A0A8C8DRY7	Oryzias sinensis	432	0.3892	0.7976
A0ABV0PYX2	Goodea atripinnis	445	0.3787	0.7937
A0AA88MQA6	Tachysurus vachellii	511	0.3779	0.8369
A0A4W3KKM9	Callorhinchus milii	488	0.3756	0.8212
A0A672P962	Sinocyclocheilus grahami	502	0.3743	0.7505
A0AAV6H5T3	Alosa alosa	435	0.3737	0.7308
A0ACC2HJQ2	Dallia pectoralis	493	0.3702	0.7642
A0A9Y3R0L2	Pundamilia nyererei	543	0.3701	0.8016
A0A3B3SVK7	Paramormyrops kingsleyae	447	0.3688	0.7564
A0A3P8ZXK0	Esox lucius	502	0.3655	0.7741
A0AAV1PLV5	Scomber scombrus	571	0.3654	0.8173
A0A6J2PXP5	Cottoperca gobio	573	0.3645	0.8625
A0A8T0ATL8	Silurus meridionalis	512	0.3643	0.7603
A0A671PK56	Sinocyclocheilus anshuiensis	426	0.3629	0.7308
H2LC85	Oryzias latipes	511	0.3623	0.8134
A0A3Q3JWA9	Monopterus albus	418	0.3611	0.7073
A0A3B4E9A2	Pygocentrus nattereri	442	0.3606	0.8173
A0A9W7TF92	Triplophysa rosa	489	0.3543	0.7485
A0AAV6VWJ3	Oedothorax gibbosus	400	0.3518	0.7092
A0A3B3ZI09	Periophthalmus magnuspinnatus	414	0.3472	0.7583
A0ABD1KVX2	Coilia grayii	507	0.3442	0.7819
A0A016UKP1	Ancylostoma ceylanicum	406	0.3262	0.7348
